subject,count,link
"folklore--north carolina--periodicals",131,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--periodicals"
"north carolina--social life and customs--periodicals",118,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina--social%20life%20and%20customs--periodicals"
"traditional medicine",17,"https://collectionbuilder.github.io/demo/folklore/browse.html#traditional%20medicine"
"north carolina folklore society",14,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina%20folklore%20society"
"awards in literature",11,"https://collectionbuilder.github.io/demo/folklore/browse.html#awards%20in%20literature"
"folklore--north carolina",10,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina"
"folk songs",8,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20songs"
"folk music",7,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20music"
"folk tales",6,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20tales"
"ballads",6,"https://collectionbuilder.github.io/demo/folklore/browse.html#ballads"
"superstition",6,"https://collectionbuilder.github.io/demo/folklore/browse.html#superstition"
"folklorists",6,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklorists"
"folklore",5,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore"
"food habits",4,"https://collectionbuilder.github.io/demo/folklore/browse.html#food%20habits"
"african americans--folklore",4,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--folklore"
"christmas",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#christmas"
"traditional music",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#traditional%20music"
"cherokee baskets",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#cherokee%20baskets"
"documentary films",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#documentary%20films"
"tobacco--folklore",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#tobacco--folklore"
"folk musicians",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20musicians"
"potters-north carolina",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#potters-north%20carolina"
"african american musicians",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20musicians"
"blues musicians",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#blues%20musicians"
"quilting",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#quilting"
"dance--folklore",3,"https://collectionbuilder.github.io/demo/folklore/browse.html#dance--folklore"
"games",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#games"
"medicine, rural",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#medicine,%20rural"
"north carolina folklore society--history",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina%20folklore%20society--history"
"christmas--north carolina--rodanthe",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#christmas--north%20carolina--rodanthe"
"portsmouth island (n.c.)--history",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#portsmouth%20island%20(n.c.)--history"
"bluegrass music",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#bluegrass%20music"
"musicians",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#musicians"
"barbering",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#barbering"
"pottery",2,"https://collectionbuilder.github.io/demo/folklore/browse.html#pottery"
