location,count,link
"north carolina, united states",66,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#north%20carolina,%20united%20states"
"central north carolina regional library (historical)",51,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#central%20north%20carolina%20regional%20library%20(historical)"
"northwestern regional library (historical)",49,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#northwestern%20regional%20library%20(historical)"
"east albemarle regional library",37,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#east%20albemarle%20regional%20library"
"fontana regional library (historical)",32,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#fontana%20regional%20library%20(historical)"
"johnston county, north carolina, united states",26,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#johnston%20county,%20north%20carolina,%20united%20states"
"sandhill regional library",23,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sandhill%20regional%20library"
"burlington, alamance county, north carolina, united states",22,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#burlington,%20alamance%20county,%20north%20carolina,%20united%20states"
"winston-salem, forsyth county, north carolina, united states",22,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#winston-salem,%20forsyth%20county,%20north%20carolina,%20united%20states"
"gaston-lincoln regional library",20,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#gaston-lincoln%20regional%20library"
"appalachian regional library",18,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#appalachian%20regional%20library"
"lenoir, caldwell county, north carolina, united states",18,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lenoir,%20caldwell%20county,%20north%20carolina,%20united%20states"
"wake county, north carolina, united states",18,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wake%20county,%20north%20carolina,%20united%20states"
"pettigrew regional library",18,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#pettigrew%20regional%20library"
"oxford, granville county, north carolina, united states",17,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#oxford,%20granville%20county,%20north%20carolina,%20united%20states"
"raleigh, wake county, north carolina, united states",17,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#raleigh,%20wake%20county,%20north%20carolina,%20united%20states"
"asheville, buncombe county, north carolina, united states",16,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#asheville,%20buncombe%20county,%20north%20carolina,%20united%20states"
"farmville, pitt county, north carolina, united states",15,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#farmville,%20pitt%20county,%20north%20carolina,%20united%20states"
"durham county, north carolina, united states",14,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#durham%20county,%20north%20carolina,%20united%20states"
"salisbury, rowan county, north carolina, united states",14,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#salisbury,%20rowan%20county,%20north%20carolina,%20united%20states"
"davidson county, north carolina, united states",14,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#davidson%20county,%20north%20carolina,%20united%20states"
"wilson county, north carolina, united states",13,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wilson%20county,%20north%20carolina,%20united%20states"
"northwestern regional library",13,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#northwestern%20regional%20library"
"dare county, north carolina, united states",13,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#dare%20county,%20north%20carolina,%20united%20states"
"greenville, pitt county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#greenville,%20pitt%20county,%20north%20carolina,%20united%20states"
"caldwell county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#caldwell%20county,%20north%20carolina,%20united%20states"
"guilford county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#guilford%20county,%20north%20carolina,%20united%20states"
"cumberland county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#cumberland%20county,%20north%20carolina,%20united%20states"
"haywood county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#haywood%20county,%20north%20carolina,%20united%20states"
"charlotte, mecklenburg county, north carolina, united states",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#charlotte,%20mecklenburg%20county,%20north%20carolina,%20united%20states"
"stanly county, north carolina, united states",11,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#stanly%20county,%20north%20carolina,%20united%20states"
"nantahala regional library",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#nantahala%20regional%20library"
"neuse regional library",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#neuse%20regional%20library"
"thomasville, davidson county, north carolina, united states",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#thomasville,%20davidson%20county,%20north%20carolina,%20united%20states"
"forsyth county, north carolina, united states",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#forsyth%20county,%20north%20carolina,%20united%20states"
"greensboro, guilford county, north carolina, united states",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#greensboro,%20guilford%20county,%20north%20carolina,%20united%20states"
"bhm regional library",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bhm%20regional%20library"
