subject,count,link
"public libraries--north carolina",849,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#public%20libraries--north%20carolina"
"photographs",694,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#photographs"
"bookmobiles--north carolina",248,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bookmobiles--north%20carolina"
"women--north carolina",236,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#women--north%20carolina"
"children--north carolina",203,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#children--north%20carolina"
"libraries--north carolina--history",114,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#libraries--north%20carolina--history"
"public librarians",68,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#public%20librarians"
"minorities--north carolina",60,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#minorities--north%20carolina"
"library information desks",48,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#library%20information%20desks"
"african americans and libraries",47,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#african%20americans%20and%20libraries"
"histories",47,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#histories"
"annual reports",41,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#annual%20reports"
"reading rooms",39,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#reading%20rooms"
"reading promotion--north carolina",36,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#reading%20promotion--north%20carolina"
"united states. works progress administration",35,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#united%20states.%20works%20progress%20administration"
"african americans--north carolina",32,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#african%20americans--north%20carolina"
"children's libraries--north carolina",32,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#children's%20libraries--north%20carolina"
"informational pamphlets",29,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#informational%20pamphlets"
"postcards",27,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#postcards"
"schools--north carolina",25,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#schools--north%20carolina"
"carnegie libraries",21,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#carnegie%20libraries"
"library legislation--north carolina",17,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#library%20legislation--north%20carolina"
"bookbinding--repairing",16,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bookbinding--repairing"
"library buildings",16,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#library%20buildings"
"clippings (information artifacts)",16,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#clippings%20(information%20artifacts)"
"newspapers",15,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#newspapers"
"programs",12,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#programs"
"library exhibits",11,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#library%20exhibits"
"reports",10,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#reports"
"libraries and community",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#libraries%20and%20community"
"library fund raising",9,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#library%20fund%20raising"
"beaches--north carolina",8,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#beaches--north%20carolina"
"world war, 1939-1945",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#world%20war,%201939-1945"
"cola drinks",7,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#cola%20drinks"
"christmas--north carolina",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#christmas--north%20carolina"
"scrapbooks",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#scrapbooks"
"bookmarks",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bookmarks"
"friends of the library",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#friends%20of%20the%20library"
"ephemera",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#ephemera"
"letters (correspondence)",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#letters%20(correspondence)"
"advertisements",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#advertisements"
"home demonstration work",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#home%20demonstration%20work"
"dogs",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#dogs"
"fliers (printed matter)",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#fliers%20(printed%20matter)"
"bicycles--north carolina",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bicycles--north%20carolina"
"newsletters",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#newsletters"
"libraries and the blind--north carolina",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#libraries%20and%20the%20blind--north%20carolina"
"public libraries--use studies",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#public%20libraries--use%20studies"
"children's librarians--north carolina",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#children's%20librarians--north%20carolina"
"libraries and families",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#libraries%20and%20families"
"national library week",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#national%20library%20week"
"invitations",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#invitations"
"police--north carolina",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#police--north%20carolina"
"surveys (documents)",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#surveys%20(documents)"
