location,count,link
"malibu (calif.)",283,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20(calif.)"
"santa monica (calif.)",259,"https://collectionbuilder.github.io/demo/wienberg/browse.html#santa%20monica%20(calif.)"
"pacific palisades (los angeles, calif.)",186,"https://collectionbuilder.github.io/demo/wienberg/browse.html#pacific%20palisades%20(los%20angeles,%20calif.)"
"santa catalina island (calif.)",94,"https://collectionbuilder.github.io/demo/wienberg/browse.html#santa%20catalina%20island%20(calif.)"
"topanga (calif.)",69,"https://collectionbuilder.github.io/demo/wienberg/browse.html#topanga%20(calif.)"
"venice (los angeles, calif.)",44,"https://collectionbuilder.github.io/demo/wienberg/browse.html#venice%20(los%20angeles,%20calif.)"
"santa monica pier (santa monica, calif.)",36,"https://collectionbuilder.github.io/demo/wienberg/browse.html#santa%20monica%20pier%20(santa%20monica,%20calif.)"
"malibu pier, malibu",34,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20pier,%20malibu"
"serra retreat (malibu, calif.)",33,"https://collectionbuilder.github.io/demo/wienberg/browse.html#serra%20retreat%20(malibu,%20calif.)"
"malibu colony, malibu",32,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20colony,%20malibu"
"carbon beach, malibu",30,"https://collectionbuilder.github.io/demo/wienberg/browse.html#carbon%20beach,%20malibu"
"las flores beach, malibu",22,"https://collectionbuilder.github.io/demo/wienberg/browse.html#las%20flores%20beach,%20malibu"
"sawtelle (los angeles, calif.)",12,"https://collectionbuilder.github.io/demo/wienberg/browse.html#sawtelle%20(los%20angeles,%20calif.)"
"los angeles (calif.)",12,"https://collectionbuilder.github.io/demo/wienberg/browse.html#los%20angeles%20(calif.)"
"mugu, point (calif.)",11,"https://collectionbuilder.github.io/demo/wienberg/browse.html#mugu,%20point%20(calif.)"
"big rock beach, malibu",11,"https://collectionbuilder.github.io/demo/wienberg/browse.html#big%20rock%20beach,%20malibu"
"monroe, marilyn, 1926-1962",10,"https://collectionbuilder.github.io/demo/wienberg/browse.html#monroe,%20marilyn,%201926-1962"
"cross creek, malibu",10,"https://collectionbuilder.github.io/demo/wienberg/browse.html#cross%20creek,%20malibu"
"topanga beach, malibu",9,"https://collectionbuilder.github.io/demo/wienberg/browse.html#topanga%20beach,%20malibu"
"trancas canyon, malibu",9,"https://collectionbuilder.github.io/demo/wienberg/browse.html#trancas%20canyon,%20malibu"
"point dume, malibu",8,"https://collectionbuilder.github.io/demo/wienberg/browse.html#point%20dume,%20malibu"
"san fernando valley (calif.)",6,"https://collectionbuilder.github.io/demo/wienberg/browse.html#san%20fernando%20valley%20(calif.)"
"rogers, will, 1879-1935",6,"https://collectionbuilder.github.io/demo/wienberg/browse.html#rogers,%20will,%201879-1935"
"latigo canyon, malibu",6,"https://collectionbuilder.github.io/demo/wienberg/browse.html#latigo%20canyon,%20malibu"
"franciscans",6,"https://collectionbuilder.github.io/demo/wienberg/browse.html#franciscans"
"paradise cove, malibu",5,"https://collectionbuilder.github.io/demo/wienberg/browse.html#paradise%20cove,%20malibu"
"la costa beach, malibu",4,"https://collectionbuilder.github.io/demo/wienberg/browse.html#la%20costa%20beach,%20malibu"
"sycamore canyon, malibu",4,"https://collectionbuilder.github.io/demo/wienberg/browse.html#sycamore%20canyon,%20malibu"
"latigo shores, malibu",4,"https://collectionbuilder.github.io/demo/wienberg/browse.html#latigo%20shores,%20malibu"
"malibu knolls, malibu",4,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20knolls,%20malibu"
"malibu road, malibu",3,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20road,%20malibu"
"malibu canyon, malibu",3,"https://collectionbuilder.github.io/demo/wienberg/browse.html#malibu%20canyon,%20malibu"
"escondido beach, malibu",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#escondido%20beach,%20malibu"
"conejo valley (calif.)",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#conejo%20valley%20(calif.)"
"encinal bluffs, malibu",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#encinal%20bluffs,%20malibu"
"san pedro (los angeles, calif.)",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#san%20pedro%20(los%20angeles,%20calif.)"
"blue, ben, 1901-1975",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#blue,%20ben,%201901-1975"
"olympics",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#olympics"
"broad beach, malibu",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#broad%20beach,%20malibu"
"avalon, frankie",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#avalon,%20frankie"
"playa del rey, los angeles",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#playa%20del%20rey,%20los%20angeles"
"adamson house, malibu",2,"https://collectionbuilder.github.io/demo/wienberg/browse.html#adamson%20house,%20malibu"
"summerland (calif.)",1,"https://collectionbuilder.github.io/demo/wienberg/browse.html#summerland%20(calif.)"
