location,count,link
"united states--washington (state)--pierce county",246,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pierce%20county"
"united states--washington (state)",145,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)"
"united states--oregon",106,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon"
"united states--washington (terr.)",92,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)"
"united states--washington (state)--whitman county",81,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county"
"united states--idaho",73,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho"
"united states--washington (state)--pierce county--tacoma",69,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pierce%20county--tacoma"
"united states--washington (state)--whitman county--pullman--washington state university",41,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--pullman--washington%20state%20university"
"united states--montana",37,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--montana"
"united states--washington (terr.)--columbia river",30,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--columbia%20river"
"north and central america--northwest coast--strait of juan de fuca",24,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast--strait%20of%20juan%20de%20fuca"
"united states--washington (state)--whitman county--pullman",22,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--pullman"
"canada--british columbia",21,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#canada--british%20columbia"
"united states",20,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states"
"united states--washington (state)--snake river",20,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--snake%20river"
"columbia river",18,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#columbia%20river"
"united states--washington (state)--king county--seattle",18,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--king%20county--seattle"
"united states--western united states",17,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--western%20united%20states"
"north and central america",17,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america"
"united states--washington (state)--okanogan county",16,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--okanogan%20county"
"united states--washington (state)--king county",15,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--king%20county"
"united states--wyoming",15,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--wyoming"
"united states--washington (state)--spokane county--spokane",14,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--spokane%20county--spokane"
"united states--washington (state)--spokane county",14,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--spokane%20county"
"united states--washington (state)--asotin county",14,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--asotin%20county"
"united states--washington (state)--san juan county--san juan islands",14,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--san%20juan%20county--san%20juan%20islands"
"united states--california",13,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--california"
"united states--washington (state)--stevens county",13,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--stevens%20county"
"northwestern united states",13,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#northwestern%20united%20states"
"united states--washington (state)--yakima county",13,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--yakima%20county"
"united states--washington (state)--chelan county",12,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--chelan%20county"
"united states--utah",11,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--utah"
"united states--washington (state)--puget sound",11,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--puget%20sound"
"united states--northwestern united states",11,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--northwestern%20united%20states"
"united states--washington (state)--kittitas county",9,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--kittitas%20county"
"north and central america--northwest coast--haro strait",8,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast--haro%20strait"
"united states--washington (state)--snohomish county",8,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--snohomish%20county"
"united states--washington (state)--klickitat county",8,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--klickitat%20county"
"united states--washington (state)--olympic peninsula",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--olympic%20peninsula"
"canada--alberta",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#canada--alberta"
"united states--washington (terr.)--snake river",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--snake%20river"
"united states--washington (state)--lewis county",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--lewis%20county"
"united states--washington (state)--adams county",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--adams%20county"
"united states--washington (state)--yakima county--yakima",7,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--yakima%20county--yakima"
"united states--washington (state)--ferry county",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--ferry%20county"
"united states--washington (state)--stevens county--colville indian reservation",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--stevens%20county--colville%20indian%20reservation"
"united states--washington (state)--walla walla county",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--walla%20walla%20county"
"united states--nevada",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--nevada"
"united states--washington (state)--whitman county--colfax",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--colfax"
"united states--columbia river",6,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--columbia%20river"
